"SPC","ABBREV","SPC_NMCO","SPC_NMSC","SPC_NMFAM","SPC_LAB","SPECIES_AT_RISK","FLEN_MIN","FLEN_MAX","TLEN_MIN","TLEN_MAX","RWT_MIN","RWT_MAX","K_MIN_ERROR","K_MIN_WARN","K_MAX_ERROR","K_MAX_WARN","FLEN2TLEN_ALPHA","FLEN2TLEN_BETA"
"621",,"Western Blacknose Dace x Creek Chub","Rhinichthys obtusus x Semotilus atromaculatus","LEUCISCIDAE Hybrids","HyCYP",FALSE,17,143,19,152,0.1,29,0.05,0.1,2.71,2.34,1.05069,1.05418
"622",,"Longnose Dace x River Chub","Rhinichthys cataractae x Nocomis micropogon","LEUCISCIDAE Hybrids","HyCYP",FALSE,11,143,12,152,0.1,29,0.05,0.1,2.71,2.34,1.35173,1.04901
"623",,"Longnose Dace x Lake Chub","Rhinichthys cataractae x Couesius plumbeus","LEUCISCIDAE Hybrids","HyCYP",FALSE,10,233,11,253,0.1,113,0.08,0.32,2.56,2.24,-0.03004,1.08321
"624",,"Creek Chub x Redside Dace","Semotilus atromaculatus x Clinostomus elongates","LEUCISCIDAE Hybrids","HyCYP",FALSE,17,143,19,152,0.1,29,0.05,0.1,2.71,2.34,1.28062,1.05133
"630",,"Eastern Blacknose Dace","Rhinichthys atratulus","LEUCISCIDAE","EbDas",FALSE,28,71,30,75,0.3,4,0.08,0.32,2.56,2.24,0.28158,1.05926
"631",,"Silver Carp","Hypophthalmichthys molitrix","XENOCYPRIDIDAE","SlCar",FALSE,24,864,28,959,1,16250,0.77,0.96,3.04,2.79,1.85526,1.09478
"632",,"Bighead Carp","Hypophthalmichthys nobilis","XENOCYPRIDIDAE","BhCar",FALSE,24,864,28,959,1,16250,0.77,0.96,3.04,2.79,1.85526,1.09478
"633",,"Black Carp","Mylopharyngodon piceus","XENOCYPRIDIDAE","BlCar",FALSE,24,864,28,959,1,16250,0.77,0.96,3.04,2.79,1.85526,1.09478
"634",,"River Shiner","Alburnops blennius","LEUCISCIDAE","RiShi",FALSE,3,147,5,161,0.1,33,0.05,0.1,2.71,2.33,-0.0012,1.10122
"650",,"North American Catfish Family Hybrids","Ictaluridae Hybrids","ICTALURIDAE Hybrids","HyICT",FALSE,12,830,12,900,0.1,11000,0.3,0.47,2.29,2.07,0,1
"651",,"Black Bullhead x Brown Bullhead","Ameiurus melas x Ameiurus nebulosus","ICTALURIDAE Hybrids","HyICT",FALSE,12,456,12,456,0.1,1103,0.58,0.77,2.18,2,0,1
"690",,"Temperate Bass Family Hybrids","Moronidae Hybrids","MORONIDAE Hybrids","MORON",FALSE,14,447,15,480,0.38,1400,0.72,0.93,2.82,2.58,-3.21112,1.08666
"691",,"Morone Hybrids","Morone Hybrids","MORONIDAE Hybrids","MORON",FALSE,14,447,15,480,0.38,1400,0.72,0.93,2.82,2.58,-3.21112,1.08666
"692",,"Wiper (White Bass x Striped Bass)","Morone chysops x Morone saxatilis","MORONIDAE Hybrids","MORON",FALSE,100,1200,106,1300,18,32296,0.72,0.93,2.82,2.58,-3.21112,1.08666
"700",,"Sunfish Family Hybrids","Centrarchidae Hybrids","CENTRARCHIDAE Hybrids","HyCEN",FALSE,9,598,10,618,0.1,4150,0.27,0.58,4.34,3.89,-1.73085,1.0562
"701",,"Lepomis Hybrids","Lepomis Hybrids","CENTRARCHIDAE Hybrids","HyCEN",FALSE,9,248,10,267,1,470,0.27,0.68,4.34,3.89,0.40085,1.052
"702",,"Pumpkinseed x Bluegill","Lepomis gibbosus x Lepomis macrochirus","CENTRARCHIDAE Hybrids","HyCEN",FALSE,9,248,10,267,1,470,0.27,0.68,4.34,3.89,0.40085,1.052
"703",,"Green Sunfish x Pumpkinseed","Lepomis cyanellus x Lepomis gibbosus","CENTRARCHIDAE Hybrids","HyCEN",FALSE,9,248,10,267,1,470,0.27,0.68,4.34,3.89,0.40085,1.052
"704",,"Green Sunfish x Northern Sunfish","Lepomis cyanellus x Lepomis peltastes","CENTRARCHIDAE Hybrids","HyCEN",FALSE,9,248,10,267,1,470,0.27,0.68,4.34,3.89,0.40085,1.052
"705",,"Green Sunfish x Bluegill","Lepomis cyanellus x Lepomis macrochirus","CENTRARCHIDAE Hybrids","HyCEN",FALSE,9,248,10,267,1,470,0.27,0.68,4.34,3.89,0.40085,1.052
"706",,"White Crappie x Black Crappie","Pomoxis annularis x Pomoxis nigromaculatus","CENTRARCHIDAE Hybrids","HyCEN",FALSE,12,423,12,454,1,1376,0.71,0.84,2.53,2.32,0.86298,1.04053
"707",,"Pumpkinseed x Orangespotted Sunfish","Lepomis gibbosus x Lepomis humilis","CENTRARCHIDAE Hybrids","HyCEN",FALSE,9,248,10,267,1,470,0.27,0.68,4.34,3.89,0.40085,1.052
"750",,"Perch & Darter Family Hybrids","Percidae Hybrids","PERCIDAE Hybrids","HyPER",FALSE,5,830,5,883,1,8100,0.05,0.1,2.43,2.09,-1.40169,1.06133
"751",,"Saugeye (Sauger x Walleye)","Sander canadensis x Sander vitreus","PERCIDAE Hybrids","Sauge",FALSE,52,830,55,883,1,8100,0.36,0.51,2.09,1.91,3.64915,1.05276
"752",,"Logperch x Channel Darter","Percina caprodes x Percina copelandi","PERCIDAE Hybrids","HyPER",FALSE,31,127,32,130,0.3,12,0.08,0.26,1.66,1.47,0.349,1.01812
"753",,"Logperch x Blackside Darter","Percina caprodes x Percina maculata","PERCIDAE Hybrids","HyPER",FALSE,31,127,32,130,0.3,12,0.08,0.26,1.66,1.47,0.349,1.01812
"800",,"Sculpin Family Hybrids","Cottidae Hybrids","COTTIDAE Hybrids","HyCOT",FALSE,18,175,18,175,0.5,69,0.05,0.22,2.54,2.23,0,1
"801",,"Mottled Sculpin x Slimy Sculpin","Cottus bairdi x Cottus cognatus","COTTIDAE Hybrids","HyCOT",FALSE,18,126,18,126,0.5,32,0.05,0.22,2.54,2.23,0,1
